formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
30.0,0.6000000089406967,35.0,13.0,8.5,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-04-09:31:27
5.0,2.600000038743019,30.0,18.0,7.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-04-09:31:27
15.0,1.700000025331974,35.0,1.0,7.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-04-09:31:27
19.0,4.000000059604645,25.0,28.0,7.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-04-09:31:27
18.0,2.3000000342726707,30.0,24.0,7.0,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-04-09:31:27
1.0,0.10000000149011612,40.0,30.0,6.0,30.0,20.0,50.0,0.0,10.0,1.0,1.0,0.966642789542675,1.0578185580670834,2025-12-04-09:31:29
30.0,5.0,40.0,1.0,7.0,10.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9939960655756295,1.028456348925829,2025-12-04-09:31:29
30.0,5.0,25.0,1.0,9.0,30.0,1.0,10.0,20.0,10.0,2.0,1.0,0.9799334276467562,1.0501385629177094,2025-12-04-09:31:29
9.0,0.10000000149011612,25.0,3.0,6.5,30.0,20.0,50.0,0.0,1.0,3.0,1.0,0.9293142333626747,1.0309559237211943,2025-12-04-09:31:32
1.0,5.0,40.0,1.0,4.0,10.0,1.0,10.0,20.0,10.0,1.0,1.0,0.9823627825826406,1.0864943638443947,2025-12-04-09:31:32
30.0,0.10000000149011612,25.0,1.0,7.0,30.0,20.0,10.0,0.0,10.0,3.0,1.0,0.9727350883185863,1.0399766638875008,2025-12-04-09:31:32
1.0,5.0,40.0,1.0,6.0,10.0,20.0,10.0,0.0,10.0,3.0,1.0,0.9603038541972637,1.0870291888713837,2025-12-04-09:31:35
30.0,0.10000000149011612,40.0,1.0,7.0,30.0,1.0,50.0,20.0,1.0,1.0,1.0,0.9243677034974098,1.018360549584031,2025-12-04-09:31:35
1.0,0.10000000149011612,40.0,30.0,6.0,10.0,1.0,50.0,20.0,10.0,3.0,1.0,0.9900942500680685,1.0158318169414997,2025-12-04-09:31:35
1.0,0.10000000149011612,25.0,1.0,6.0,10.0,20.0,10.0,19.0,10.0,1.0,0.8902833002328867,0.8801159654351965,1.0581111684441566,2025-12-04-09:31:39
30.0,5.0,40.0,30.0,7.0,30.0,1.0,50.0,0.0,1.0,3.0,1.0,0.9587056636810303,1.003686350537464,2025-12-04-09:31:39
8.0,5.0,40.0,1.0,6.5,30.0,1.0,20.0,0.0,1.0,2.0,1.0,0.9682119376957417,1.0627292841672897,2025-12-04-09:31:39
9.0,5.0,35.0,1.0,6.5,25.0,13.0,20.0,10.0,6.0,2.0,1.0,0.9405610486865044,1.0607505850493908,2025-12-04-09:31:46
30.0,4.400000065565109,40.0,1.0,8.0,10.0,9.0,50.0,6.0,3.0,2.0,1.0,0.9427004270255566,1.0636765509843826,2025-12-04-09:31:46
5.0,0.10000000149011612,35.0,1.0,7.0,10.0,1.0,10.0,0.0,7.0,2.0,1.0,0.9740533400326967,1.0436029434204102,2025-12-04-09:31:46
9.0,3.500000052154064,35.0,1.0,6.5,15.0,2.0,40.0,20.0,7.0,2.0,1.0,0.9830604065209627,1.0255974475294352,2025-12-04-09:32:02
1.0,2.0000000298023224,30.0,1.0,6.0,20.0,2.0,40.0,20.0,1.0,1.0,1.0,0.9308045133948326,1.0897560119628906,2025-12-04-09:32:02
2.0,2.0000000298023224,40.0,14.0,5.0,25.0,3.0,40.0,20.0,10.0,3.0,1.0,0.9636654295027256,1.0294715464115143,2025-12-04-09:32:02
18.0,1.5000000223517418,30.0,1.0,7.0,15.0,20.0,50.0,7.0,1.0,2.0,1.0,0.9219899699091911,1.0769764482975006,2025-12-04-09:32:26
7.0,4.100000061094761,25.0,22.0,7.0,25.0,1.0,30.0,15.0,6.0,1.0,1.0,0.9088803604245186,1.0122530637308955,2025-12-04-09:32:26
20.0,1.0000000149011612,35.0,1.0,11.0,10.0,3.0,20.0,10.0,5.0,2.0,1.0,0.9865949871018529,1.0756493359804153,2025-12-04-09:32:26
16.0,1.8000000268220901,30.0,1.0,10.0,15.0,3.0,20.0,16.0,1.0,1.0,1.0,0.9835274089127779,1.0458340905606747,2025-12-04-09:32:52
11.0,1.700000025331974,40.0,9.0,5.0,10.0,2.0,20.0,16.0,1.0,3.0,1.0,0.9392122067511082,1.0225802659988403,2025-12-04-09:32:52
26.0,2.3000000342726707,40.0,20.0,9.0,15.0,20.0,40.0,16.0,4.0,1.0,1.0,0.9355764985084534,1.0011788308620453,2025-12-04-09:32:52
17.0,4.700000070035458,30.0,1.0,7.0,15.0,1.0,10.0,9.0,6.0,2.0,1.0,0.9660030789673328,1.0111544309183955,2025-12-04-09:33:19
3.0,4.400000065565109,25.0,30.0,6.0,20.0,20.0,50.0,16.0,1.0,1.0,1.0,0.9657429940998554,1.0288980435580015,2025-12-04-09:33:19
17.0,2.0000000298023224,30.0,11.0,6.5,25.0,9.0,30.0,10.0,2.0,2.0,1.0,0.9662709459662437,1.004893851466477,2025-12-04-09:33:19
13.0,1.0000000149011612,35.0,1.0,6.0,10.0,1.0,20.0,10.0,1.0,1.0,1.0,0.9491939656436443,1.0605298541486263,2025-12-04-09:33:56
20.0,0.10000000149011612,30.0,1.0,11.0,15.0,5.0,30.0,14.0,2.0,2.0,1.0,0.9701914489269257,1.0266040451824665,2025-12-04-09:33:56
17.0,0.10000000149011612,35.0,1.0,5.5,30.0,1.0,20.0,10.0,1.0,2.0,1.0,0.9417555220425129,1.068485550582409,2025-12-04-09:33:56
12.0,2.400000035762787,35.0,1.0,5.5,10.0,5.0,10.0,10.0,2.0,2.0,1.0,0.9722379855811596,1.025419557467103,2025-12-04-09:34:20
8.0,5.0,30.0,12.0,6.5,15.0,20.0,40.0,14.0,1.0,1.0,1.0,0.9957818449474871,1.0765109211206436,2025-12-04-09:34:20
10.0,2.2000000327825546,35.0,1.0,6.0,20.0,5.0,10.0,11.0,5.0,2.0,1.0,0.9403681755065918,1.0077278376556933,2025-12-04-09:34:20
7.0,5.0,30.0,7.0,8.0,15.0,20.0,40.0,18.0,1.0,1.0,1.0,0.972677843645215,1.054858561605215,2025-12-04-09:34:57
