formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
21.0,2.0,35.0,13.0,6.0,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-01-16:08:32
4.0,6.0,30.0,18.0,5.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-01-16:08:32
11.0,4.0,35.0,1.0,5.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-01-16:08:32
14.0,8.0,25.0,28.0,8.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-01-16:08:32
13.0,5.0,30.0,24.0,4.5,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-01-16:08:32
1.0,1.0,25.0,30.0,4.0,30.0,1.0,50.0,0.0,10.0,1.0,1.0,0.966642789542675,1.0578185580670834,2025-12-01-16:08:37
21.0,10.0,40.0,1.0,6.0,10.0,20.0,10.0,19.0,1.0,2.0,1.0,0.9939960655756295,1.028456348925829,2025-12-01-16:08:37
1.0,1.0,25.0,30.0,6.0,30.0,20.0,10.0,0.0,1.0,2.0,1.0,0.9799334276467562,1.0501385629177094,2025-12-01-16:08:37
1.0,10.0,40.0,30.0,6.0,10.0,20.0,50.0,0.0,10.0,1.0,1.0,0.9135056361556053,1.0272649116814137,2025-12-01-16:08:48
21.0,1.0,25.0,1.0,4.0,30.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9600233361124992,1.0002597868442535,2025-12-01-16:08:48
21.0,1.0,25.0,1.0,6.0,30.0,1.0,10.0,20.0,10.0,2.0,1.0,0.9165364652872086,1.0878817364573479,2025-12-01-16:08:48
1.0,1.0,40.0,30.0,6.0,30.0,1.0,50.0,20.0,1.0,2.0,1.0,0.999343884002883,1.0114180510863662,2025-12-01-16:09:07
1.0,10.0,25.0,1.0,4.0,10.0,20.0,10.0,0.0,10.0,2.0,1.0,0.9623648710548878,1.0837438628077507,2025-12-01-16:09:07
21.0,10.0,40.0,1.0,6.0,30.0,1.0,10.0,0.0,1.0,2.0,1.0,0.9416308887302876,1.0119697274640203,2025-12-01-16:09:07
