formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
30.0,0.6000000089406967,35.0,13.0,8.5,10.0,10.0,40.0,4.0,7.0,1.0,0.7591225815894876,0.7843071618417777,0.8410774456496409,2025-12-04-10:36:24
5.0,2.600000038743019,30.0,18.0,7.0,30.0,19.0,30.0,16.0,5.0,1.0,0.6419450386814046,0.7077945304964904,0.6331044830128253,2025-12-04-10:36:24
15.0,1.700000025331974,35.0,1.0,7.5,20.0,4.0,20.0,10.0,2.0,2.0,0.7318928416320379,0.9021960369910333,0.7095644362093082,2025-12-04-10:36:24
19.0,4.000000059604645,25.0,28.0,7.0,20.0,13.0,50.0,9.0,8.0,1.0,0.6693745309461454,0.9103513835959,0.7084244832005798,2025-12-04-10:36:24
18.0,2.3000000342726707,30.0,24.0,7.0,15.0,2.0,10.0,13.0,3.0,2.0,0.6969110727981963,0.8580913832919163,0.8617988350733351,2025-12-04-10:36:24
24.0,0.9000000134110451,35.0,23.0,6.0,20.0,3.0,30.0,4.0,5.0,2.0,0.713759479317046,0.9247047547701923,0.7458847348447522,2025-12-04-10:36:45
17.0,4.700000070035458,35.0,26.0,7.0,20.0,1.0,20.0,8.0,2.0,1.0,0.7768155355025516,0.9619102291762829,0.9135397415607159,2025-12-04-10:36:45
27.0,0.10000000149011612,35.0,20.0,8.0,10.0,5.0,20.0,15.0,4.0,1.0,0.6436750650423855,0.7964575820860634,0.8485368578843495,2025-12-04-10:36:45
9.0,0.800000011920929,25.0,26.0,6.5,20.0,1.0,10.0,14.0,1.0,2.0,0.5958688392262177,0.8284164898041367,0.7707305228057001,2025-12-04-10:36:45
25.0,0.7000000104308128,35.0,1.0,6.0,20.0,9.0,50.0,5.0,9.0,2.0,0.5910306686325012,0.8054847547344295,0.8833375929343275,2025-12-04-10:36:45
23.0,5.0,35.0,29.0,9.0,20.0,1.0,20.0,8.0,2.0,1.0,0.8498349270594803,0.964361596852541,0.9877224452793598,2025-12-04-10:36:56
20.0,5.0,35.0,25.0,7.0,20.0,1.0,20.0,9.0,1.0,2.0,0.7899956926779387,0.9956575348041952,0.9442340853179877,2025-12-04-10:36:56
16.0,5.0,35.0,22.0,9.5,20.0,1.0,20.0,2.0,3.0,2.0,0.7115648997913089,0.9270004639924864,0.937838911272512,2025-12-04-10:36:56
20.0,5.0,35.0,27.0,8.0,20.0,1.0,20.0,17.0,3.0,1.0,0.7620389378897783,0.979320589452982,0.777633922675073,2025-12-04-10:36:56
20.0,4.700000070035458,35.0,29.0,7.0,20.0,8.0,20.0,1.0,1.0,2.0,0.7877660512660425,0.9503042325377464,0.8431371058584537,2025-12-04-10:36:56
25.0,5.0,35.0,29.0,6.0,20.0,1.0,10.0,8.0,1.0,1.0,0.8978028679490103,0.997877593152225,0.8273518185189067,2025-12-04-10:37:12
28.0,5.0,35.0,30.0,6.0,20.0,1.0,20.0,14.0,1.0,2.0,0.7479672319310707,0.9613446779549122,0.882038923076817,2025-12-04-10:37:12
26.0,5.0,30.0,28.0,10.5,20.0,1.0,20.0,7.0,1.0,2.0,0.7538596701760938,0.9365269459295752,0.9244674341191703,2025-12-04-10:37:12
24.0,5.0,40.0,30.0,6.0,20.0,1.0,20.0,8.0,1.0,2.0,0.8177615186216812,0.9304128816050476,0.8713248997913089,2025-12-04-10:37:12
26.0,5.0,35.0,28.0,9.0,20.0,1.0,10.0,7.0,1.0,1.0,0.8612005627720989,0.9349138364195824,0.986125177407741,2025-12-04-10:37:12
23.0,5.0,30.0,30.0,8.0,20.0,1.0,10.0,6.0,1.0,1.0,0.9417395571732894,0.9986229420173913,0.9242007548967377,2025-12-04-10:37:47
21.0,5.0,40.0,26.0,7.0,20.0,1.0,20.0,7.0,1.0,2.0,0.8342156049316563,0.9080966776775247,0.9310135970224921,2025-12-04-10:37:47
21.0,5.0,30.0,28.0,7.0,20.0,1.0,20.0,7.0,1.0,2.0,0.7291648997913087,0.9279335141181946,0.7823829480519592,2025-12-04-10:37:47
23.0,5.0,40.0,22.0,8.5,20.0,1.0,10.0,7.0,1.0,1.0,0.7330156520116136,0.982388949021697,0.9017145605279598,2025-12-04-10:37:47
20.0,5.0,35.0,28.0,8.5,20.0,1.0,10.0,7.0,2.0,3.0,0.8166789386348364,0.9790881350636482,0.9226802212698626,2025-12-04-10:37:47
21.0,5.0,35.0,30.0,7.0,20.0,2.0,10.0,5.0,1.0,1.0,0.7249218982215575,0.9265288561582565,0.9045866290627712,2025-12-04-10:38:09
23.0,5.0,30.0,30.0,8.0,20.0,5.0,10.0,18.0,1.0,1.0,0.9272604402792827,0.9936466361396015,0.9036061321735755,2025-12-04-10:38:09
22.0,5.0,35.0,28.0,6.0,20.0,1.0,10.0,9.0,1.0,1.0,0.7201619303350777,0.9349800365273088,0.8311280739878528,2025-12-04-10:38:09
24.0,5.0,25.0,30.0,4.0,20.0,1.0,10.0,0.0,1.0,1.0,0.7144810951148384,0.973951293155551,0.7937615505110136,2025-12-04-10:38:09
21.0,5.0,30.0,30.0,7.0,15.0,1.0,10.0,6.0,1.0,1.0,0.7467830836920227,0.9113846418253938,0.9311541890038437,2025-12-04-10:38:09
