formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
30.0,0.6000000089406967,35.0,13.0,8.5,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-01-17:29:17
5.0,2.600000038743019,30.0,18.0,7.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-01-17:29:17
15.0,1.700000025331974,35.0,1.0,7.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-01-17:29:17
19.0,4.000000059604645,25.0,28.0,7.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-01-17:29:17
18.0,2.3000000342726707,30.0,24.0,7.0,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-01-17:29:17
1.0,5.0,40.0,30.0,6.0,10.0,20.0,50.0,0.0,1.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-01-17:29:21
1.0,0.10000000149011612,25.0,1.0,4.0,30.0,1.0,10.0,0.0,10.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-01-17:29:21
30.0,5.0,25.0,1.0,9.0,30.0,1.0,10.0,20.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-01-17:29:21
1.0,0.10000000149011612,40.0,30.0,6.0,30.0,20.0,50.0,19.0,10.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-01-17:29:23
30.0,5.0,40.0,1.0,7.0,10.0,1.0,10.0,20.0,1.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-01-17:29:23
1.0,5.0,25.0,30.0,6.0,10.0,1.0,10.0,0.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-01-17:29:23
1.0,5.0,25.0,1.0,6.0,10.0,20.0,10.0,19.0,10.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-01-17:29:26
30.0,0.10000000149011612,40.0,30.0,7.0,30.0,1.0,50.0,0.0,1.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-01-17:29:26
30.0,0.10000000149011612,25.0,1.0,7.0,10.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-01-17:29:26
12.0,5.0,40.0,30.0,5.5,30.0,20.0,10.0,0.0,10.0,3.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:29:34
12.0,5.0,35.0,1.0,4.0,10.0,1.0,50.0,20.0,1.0,1.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:29:34
12.0,0.10000000149011612,25.0,1.0,5.5,10.0,12.0,50.0,20.0,1.0,1.0,0.9716090778725388,0.9375098161399364,1.0434003435075283,2025-12-01-17:29:34
7.0,4.100000061094761,35.0,1.0,7.5,25.0,16.0,30.0,11.0,3.0,1.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:30:09
7.0,0.20000000298023224,35.0,30.0,8.5,30.0,16.0,20.0,11.0,8.0,1.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:30:09
4.0,5.0,35.0,1.0,4.0,10.0,6.0,50.0,10.0,1.0,2.0,1.0,0.9375098161399364,1.0434003435075283,2025-12-01-17:30:09
11.0,2.1000000312924385,35.0,1.0,5.0,25.0,10.0,30.0,13.0,3.0,2.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:30:35
22.0,2.500000037252903,30.0,1.0,6.0,20.0,9.0,40.0,10.0,6.0,2.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:30:35
1.0,1.9000000283122063,30.0,1.0,6.0,25.0,14.0,20.0,10.0,2.0,1.0,1.0,0.9375098161399364,1.0434003435075283,2025-12-01-17:30:35
22.0,2.400000035762787,35.0,1.0,6.0,20.0,4.0,10.0,9.0,5.0,2.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:31:27
22.0,1.9000000283122063,30.0,1.0,6.0,15.0,4.0,50.0,9.0,3.0,2.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:31:27
21.0,2.2000000327825546,30.0,1.0,7.0,30.0,20.0,30.0,8.0,5.0,2.0,1.0,0.9375098161399364,1.0434003435075283,2025-12-01-17:31:27
20.0,2.1000000312924385,30.0,1.0,7.0,20.0,6.0,40.0,10.0,5.0,2.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:31:50
14.0,1.700000025331974,30.0,1.0,4.5,15.0,2.0,20.0,0.0,2.0,2.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:31:50
15.0,1.700000025331974,35.0,1.0,8.0,15.0,3.0,20.0,20.0,2.0,2.0,1.0,0.9375098161399364,1.0434003435075283,2025-12-01-17:31:50
20.0,1.8000000268220901,25.0,1.0,7.0,15.0,3.0,40.0,5.0,2.0,2.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-01-17:32:26
10.0,1.5000000223517418,35.0,5.0,6.0,20.0,2.0,10.0,10.0,1.0,2.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-01-17:32:26
10.0,3.0000000447034836,30.0,24.0,6.0,25.0,9.0,30.0,14.0,6.0,1.0,1.0,0.9375098161399364,1.0434003435075283,2025-12-01-17:32:26
