formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
30.0,0.6000000089406967,35.0,13.0,8.5,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-02-15:21:27
5.0,2.600000038743019,30.0,18.0,7.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-02-15:21:27
15.0,1.700000025331974,35.0,1.0,7.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-02-15:21:27
19.0,4.000000059604645,25.0,28.0,7.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-02-15:21:27
18.0,2.3000000342726707,30.0,24.0,7.0,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-02-15:21:27
1.0,5.0,40.0,30.0,6.0,10.0,20.0,50.0,0.0,1.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-02-15:21:29
1.0,0.10000000149011612,25.0,1.0,4.0,30.0,1.0,10.0,0.0,10.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-02-15:21:29
30.0,5.0,25.0,1.0,9.0,30.0,1.0,10.0,20.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-02-15:21:29
1.0,0.10000000149011612,40.0,30.0,6.0,30.0,20.0,50.0,19.0,10.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-02-15:21:32
30.0,5.0,40.0,1.0,7.0,10.0,1.0,10.0,20.0,1.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-02-15:21:32
1.0,5.0,25.0,30.0,6.0,10.0,1.0,10.0,0.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-02-15:21:32
1.0,5.0,25.0,1.0,6.0,10.0,20.0,10.0,19.0,10.0,2.0,1.0,0.9786335099488497,1.0624901838600636,2025-12-02-15:21:35
30.0,0.10000000149011612,40.0,30.0,7.0,30.0,1.0,50.0,0.0,1.0,2.0,1.0,0.9565996564924717,1.01370570063591,2025-12-02-15:21:35
30.0,0.10000000149011612,25.0,1.0,7.0,10.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9488271661102772,1.01584592461586,2025-12-02-15:21:35
12.0,5.0,40.0,30.0,5.5,30.0,20.0,10.0,0.0,10.0,3.0,1.0,0.9668716229498386,1.0322741828858852,2025-12-02-15:21:39
12.0,5.0,35.0,1.0,4.0,10.0,1.0,50.0,20.0,1.0,1.0,1.0,0.9983797312015668,1.0213664900511503,2025-12-02-15:21:39
12.0,0.10000000149011612,25.0,1.0,5.5,10.0,12.0,50.0,20.0,1.0,1.0,0.9716090778725388,0.9375098161399364,1.0434003435075283,2025-12-02-15:21:39
